Date,ABNB,AMZN,BX,CTAS,CVX,GM,GOOG,NVDA,UBER
2010-01-04,,1017626636.092186,25581109.956026077,22534590.173530582,457701465.30151373,,1226048357.3712788,339304869.21424866,
2010-01-05,,1192262398.8437653,27129900.624847412,31159395.595550533,479967828.0239105,,1874902820.3962839,313475213.26446533,
2010-01-06,,949396327.3849487,27866585.537052155,33699732.07836152,499100112.93411255,,2420084109.375313,281068070.72753906,
2010-01-07,,1433926000.0,27328083.951187134,22410204.82673645,434576364.912796,,3810735645.7591147,232527588.99765015,
2010-01-08,,1312568383.2502365,19210135.665893555,54889844.08569336,254339456.32133484,,2844123134.301084,203412197.32055664,
2010-01-11,,1144043626.0566711,16735655.728149414,15456038.480949402,548457282.3242188,,4335746412.411647,233463337.42275238,
2010-01-12,,1158413773.7703323,19346149.906158447,21780388.813018803,557093752.2125244,,2865776544.1880264,254246997.731781,
2010-01-13,,1384472378.9978027,15408034.343576431,18532117.144775394,492337103.7559509,,3814088838.8359013,209003242.96398163,
2010-01-14,,1244833481.4405441,20050625.48789978,18759408.09059143,304239854.4540405,,2501023014.0257745,246026817.9807663,
2010-01-15,,1954968171.286583,18215828.483772278,29149138.87939453,607849277.433014,,3152009970.4022884,321038821.03195196,
2010-01-19,,1134784657.5050354,25505593.48578453,14812180.778503416,395473699.2828369,,2536579258.589521,217975414.43710327,
2010-01-20,,1141415772.231102,11435753.55758667,21982145.022583008,387061648.88458246,,1886738796.632472,286530267.943573,
2010-01-21,,1262477342.33284,26549135.696172714,39316638.233184814,545469987.0117188,,3677262852.8520813,237975189.77851868,
2010-01-22,,1404811486.398697,33069351.152801514,42865857.68890381,586796952.4383545,,3740287989.9461775,403106015.50769806,
2010-01-25,,1446595425.5123138,21984317.395877838,27085371.99497223,387298992.1875,,2386746034.181237,247101399.24297333,
2010-01-26,,1142109315.624237,11202201.3007164,29783797.111701965,445495432.1685791,,2362510344.7887635,265656440.650177,
2010-01-27,,1812440518.6748505,10675029.346466064,35559934.32388305,560847808.6624146,,2149101321.663208,310236078.4402848,
2010-01-28,,3439749307.6257706,11808711.613225937,27307483.416366577,534658728.77197266,,1725275889.9145317,253774458.28475952,
2010-01-29,,3695995840.927124,15810952.940368652,38411683.65287781,626486727.7709961,,2194216606.734726,273416438.99440765,
2010-02-01,,4490242959.701538,17333068.62602234,20935204.478073116,495258244.556427,,1199721365.428831,360928931.47354126,
2010-02-02,,2726174227.3902893,20029917.85054207,21642775.82244873,548524552.4291993,,2175573873.534339,326235146.7096329,
2010-02-03,,1477542671.0700989,14197888.481616974,12990864.502716064,605739632.8186035,,1621973228.193426,217665629.08515933,
2010-02-04,,1482176942.4438477,21549566.51611328,18925991.603851322,619273190.3091431,,1779304862.8518963,285678357.1071625,
2010-02-05,,1294201307.3272705,19404663.897800446,29388182.382202145,701006387.1459961,,1676751243.9954376,224985883.96110535,
2010-02-08,,1155472027.517319,9863143.944358826,29877696.751785275,462742220.54443365,,1437328221.1299365,165278103.8122177,
2010-02-09,,1088590731.5158844,12944871.34642601,24002541.60308838,529622326.7341614,,1512546217.9331589,342569049.5521545,
2010-02-10,,731528355.8044434,14484395.460891724,17810654.783439636,467763435.2359772,,1429386501.6502533,201152996.67406082,
2010-02-11,,1001970900.3591537,9394356.223869324,15951237.155914307,460164774.0325928,,1292724058.914734,273245439.9776459,
2010-02-12,,966074977.9701233,11221762.126874924,21536339.434814457,563331304.9648285,,1215353643.6340663,310430457.48643875,
2010-02-16,,1049860254.1713715,15041927.011871338,52326780.81588745,596721388.5543823,,1978126687.8555908,185194538.83666992,
2010-02-17,,1040369649.1012573,9546709.506082535,32238349.59869384,365227665.435791,,1092404900.30696,358615332.195282,
2010-02-18,,1157195769.8678973,11614707.873535156,27606014.36309815,416507279.6936035,,1269450820.580206,579356985.8141899,
2010-02-19,,836225301.6853333,11284788.504838943,32561759.54818725,557843843.8049316,,1380614420.963768,194121465.3500557,
2010-02-22,,803329448.5902786,18949755.513191223,17583620.274162292,363959882.76672363,,1164088870.2307692,174488641.37945175,
2010-02-23,,828675766.3822174,31441415.04135132,20143688.366699222,492807089.44244385,,1537042140.003937,182063261.57455444,
2010-02-24,,884718837.020874,27609339.001369476,24929034.14001465,370741220.1232911,,1236518106.4306326,169221940.67630768,
2010-02-25,,1126847850.906372,35515037.15658188,26857411.818695072,487217018.0377961,,1742062059.4138372,216995656.6663742,
2010-02-26,,677437448.7304688,18587694.90122795,65648136.23390198,372937059.7366333,,1079571245.8471556,146149499.44524765,
2010-03-01,,1655946172.8954318,15636848.178386688,28015759.362602234,310704798.7663269,,1192106940.3558578,214794967.17967987,
2010-03-02,,1518599229.4549942,17248107.401371002,24579193.795204163,389925119.41986084,,2357290319.464861,208017303.96575928,
2010-03-03,,810781939.7850037,42187165.24858475,24394291.780853268,344255582.87887573,,1684711648.0093145,152280439.66770175,
2010-03-04,,965221717.5092697,23858312.1843338,24805965.516090397,395479235.2710724,,1765703687.3124936,212956657.73839954,
2010-03-05,,872630449.0556717,56766108.90054703,23471429.216766357,373495856.7993164,,2207302281.821465,249178867.38281253,
2010-03-08,,729383631.0367584,28407852.17857361,25858413.843536377,277602435.0128174,,1342302284.7777386,170461345.9728241,
2010-03-09,,782040454.1473389,20668351.744270325,24117260.88352203,361966836.7858887,,1779499537.5111284,334381838.97628784,
2010-03-10,,734210086.8272781,21096012.905311584,29299492.500495914,622586038.7123109,,3259767197.647434,168824059.66758728,
2010-03-11,,967226049.6368408,34519255.64908981,19828225.550460815,298593027.32276917,,2460139965.0162735,213133877.67648697,
2010-03-12,,810798465.8546448,25617388.21983337,12957911.662101746,325336570.520401,,1595705378.705346,205844196.76055908,
2010-03-15,,829947990.688324,23037949.748325348,11879935.455322266,372252267.87109375,,2620983487.4881434,141236774.02515414,
2010-03-16,,544622170.9012986,15988477.986717224,16174343.767929077,417706986.59477234,,1939483818.8387716,270837750.15296936,
2010-03-17,,572484784.3513489,21865930.16147613,24984111.33556366,441493915.10009766,,1878563998.23872,270286362.5427246,
2010-03-18,,666627789.1492844,17975461.90094948,46059011.28444672,425881901.3744354,,1006606100.0365305,296683836.70978546,
2010-03-19,,1160766736.4120483,28257455.50403595,79845743.84765625,715504584.5123292,,2684752007.97513,231264581.58435822,
2010-03-22,,702372194.3035126,20326527.90699005,35088323.54736328,398584099.02305603,,2232676043.880277,175008351.0028839,
2010-03-23,,544585290.892601,21854578.071832657,29277607.89413452,343921918.3353424,,3020213618.278567,202510958.6227417,
2010-03-24,,601327051.3420106,26939903.19981575,24178394.004821777,382143288.12561035,,3658982934.4720516,172975609.62810516,
2010-03-25,,2183919338.745117,41246901.150512695,28324373.766326904,445605503.1131744,,2212625059.881686,196910202.64663696,
2010-03-26,,886763413.4473801,29836736.844539642,47021543.35594178,445184760.7097626,,1517124739.7527866,137060609.80854034,
2010-03-29,,625186731.883049,23495189.05506134,26909520.191192627,381101121.04797363,,1746126090.0245352,158845792.84973145,
2010-03-30,,845798965.5275345,21966907.92274475,17886563.442993164,275908712.20588684,,1120895724.0199108,131035548.00605774,
2010-03-31,,624623446.5560913,31196633.530139923,27175028.74717712,430208588.766098,,1718827345.7778597,155556467.98324585,
2010-04-01,,1158056276.5502932,27236728.120279312,23945477.44598389,346259452.4085999,,1196015732.1576977,134132856.08291626,
2010-04-05,,764811594.7628021,27529603.237724304,22756576.98097229,361761397.99194336,,1085775539.2422638,165810511.43016815,
2010-04-06,,1077742648.5900881,24195327.40688324,17791251.333618164,290368577.4230957,,1170590040.1201346,316420763.41724396,
2010-04-07,,801856125.6694794,24794840.81888199,19614701.8157959,419206093.24264526,,1454496699.1142206,321691993.3709145,
2010-04-08,,1788655500.1802444,22479948.10409546,20406263.305664062,306970290.66467285,,1105186722.4633367,401656523.85711676,
2010-04-09,,841914639.8591995,18639669.350910187,17143099.578857422,447768712.51297,,1164488082.1425822,318545731.07471466,
2010-04-12,,768876353.7683487,37801468.09053421,19661057.899475098,462058715.8203125,,1347290039.8169136,216798870.3727722,
2010-04-13,,670735670.1421738,53293277.71654129,17693828.030395508,367645064.0659332,,2295620274.401551,262714716.09420776,
2010-04-14,,1139855319.5619583,36320788.721466064,28923801.56879425,337487445.7611084,,2004190329.692444,369325900.428772,
2010-04-15,,1141712254.6768188,24130000.64907074,35184717.678833015,454777964.76364136,,4025299596.424684,395501862.0376587,
2010-04-16,,1193773056.640625,54316106.67710304,28891818.438720703,596659509.8808289,,6731360143.398859,750274733.2891465,
2010-04-19,,857713461.8377686,34239012.506484985,17107460.273361206,436146584.7858429,,2142089470.4916801,426189397.6167679,
2010-04-20,,621747143.289566,23151877.063179016,14948295.639038088,540656020.0881958,,1652576197.1615868,265016175.72155002,
2010-04-21,,1079833366.1193848,31748035.083961487,14557688.104438782,443153110.71624756,,1325608457.7581568,341054653.30266947,
2010-04-22,,2276234895.3876495,55812033.299446106,17255962.780952457,439477510.08987427,,1794739824.9127867,251135687.44268417,
2010-04-23,,2725407960.0753784,37082984.920978546,17690650.016021725,471037221.1696625,,1138702085.6333427,283857749.5436668,
2010-04-26,,1370815154.2339325,39393990.52643776,18125698.647880554,464626975.61416626,,2322628860.4417357,186949119.55213544,
2010-04-27,,1226910750.9994507,33138582.82814026,38850599.30419922,601155092.5735474,,2034076949.388504,224421104.27093506,
2010-04-28,,1286939093.752861,31415182.815742493,28768104.693603512,561138813.7325287,,1802474144.0838773,249097317.75999072,
2010-04-29,,894911587.1963501,28664089.68076706,33342879.882431027,580269608.1161499,,1627334708.8020706,376912260.910225,
2010-04-30,,838160852.3321152,30948056.546974182,25669402.521514893,650808506.4987183,,1280289803.5644636,384786085.3225708,
2010-05-03,,777450931.1351776,41525650.08831024,21371441.20941162,554393971.112442,,985748640.2666664,384515305.37633896,
2010-05-04,,1644660448.8716125,41967758.91008377,35813033.61911774,755053419.4885254,,3076855892.635063,443579676.6239166,
2010-05-05,,1238349071.9661713,33469433.81409645,19964138.942337032,600201207.2364807,,2335822339.7304688,442533561.12766266,
2010-05-06,,1311426219.5396423,66720652.105093,41262350.50964355,933981030.9448242,,2493399770.1870117,326582778.52420807,
2010-05-07,,1490711465.2900696,50380771.97265625,38441119.4152832,968511230.8948517,,2509589421.7789984,369347521.5324402,
2010-05-10,,893572849.2679596,49029578.542518616,32245177.64854431,672912769.9371338,,2153371215.9844112,326938249.4661331,
2010-05-11,,788513257.4100494,30048256.14748001,27836372.78213501,550289204.5372009,,1691369549.8195775,273800628.16619873,
2010-05-12,,790435419.9552536,19722932.907104492,22254928.252410892,425796714.99176025,,1946661288.6796,303401068.97420883,
2010-05-13,,780958112.581253,21863069.736957554,18284152.218818665,491449891.9921875,,1699084699.7929327,420624226.8562317,
2010-05-14,,678355617.4907684,41943535.96687317,25567985.141754147,608211116.4016724,,2088993514.7087402,740954580.997467,
2010-05-17,,727335990.3774261,28343731.65121079,27271736.91177368,662283687.3321533,,1419166583.3914013,255015056.86187744,
2010-05-18,,663841345.6363678,24499930.117464066,27356895.501708988,682748095.516205,,1408144379.468792,194166427.11639404,
2010-05-19,,805262523.3306885,33058925.045967102,24209958.61930847,478507674.4003296,,1703657514.4975834,241855782.56702423,
2010-05-20,,1028835599.7390747,51621570.15724182,34602654.81719971,763025021.5530396,,2333866649.8622417,322638910.11009216,
2010-05-21,,977697992.9208755,25137942.573165894,40630566.3986206,687501212.3996736,,4574542129.165765,312249917.5643921,
2010-05-24,,553924103.1551361,25651164.90497589,21440029.272842407,448866572.27516174,,2073546430.3139257,188368309.92183685,
2010-05-25,,863207128.2196045,28889320.360183716,28886407.3261261,938570376.5907288,,1439511025.8926334,281309407.03716284,
2010-05-26,,858108372.9076385,21506576.59020424,32072236.806106567,700682362.4435425,,1652543598.514778,290936320.76768875,
2010-05-27,,601533593.6222076,16783869.47464943,24532844.77043152,657668607.7754973,,1377751191.8871918,220910619.27700043,
2010-05-28,,496169189.2929077,20345922.7142334,21394290.400886536,618750992.2962189,,1405801701.1359406,164261841.58201218,
2010-06-01,,450996793.1222916,22287132.511138916,27019068.025207523,585434168.1152344,,1286384378.6963396,152176989.45512772,
2010-06-02,,601829236.2794876,15660373.634719849,22326649.406433105,673739060.30159,,1253554499.616703,189340304.0802002,
